dataset;relative;absolute;naive_occurrences;deletion_occurrences;projection_occurrences;naive_size;deletion_size;projection_size;num;abs;perfect;reject_naive;reject_deletion;reject_projection;deletion_rate;projection_rate;naive_auc;deletion_auc;projection_auc
abalone.bin;1;4177;2138624;4177;4177;37593;0;0;abalone.num;4177;4177;0.998046875;0;0;0;0;0;0;0
abalone.bin;0.95;3969;2138624;4177;4177;37593;0;0;abalone.num;3968;4177;0.998046875;0;0;0;0;0.049902344;0;0
abalone.bin;0.90000004;3760;2138624;4177;4177;37593;0;0;abalone.num;3759;4177;0.998046875;0;0;0;0;0.049902344;0;0
abalone.bin;0.85;3551;2138624;4177;4177;37593;0;0;abalone.num;3550;4177;0.998046875;0;0;0;0;0.049902344;0;0
abalone.bin;0.8;3342;2138624;4177;4177;37593;0;0;abalone.num;3341;4177;0.998046875;0;0;0;0;0.049902344;0;0
abalone.bin;0.75;3133;2138624;4177;4177;37593;0;0;abalone.num;3132;4177;0.998046875;0;0;0;0;0.049902344;0;0
abalone.bin;0.7;2924;2138624;4177;4177;37593;0;0;abalone.num;2923;4177;0.998046875;0;0;0;0;0.049902344;0;0
abalone.bin;0.65000004;2716;2138624;4177;4177;37593;0;0;abalone.num;2715;4177;0.998046875;0;0;0;0;0.049902344;0;0
abalone.bin;0.6;2507;2138624;4177;4177;37593;0;0;abalone.num;2506;4177;0.998046875;0;0;0;0;0.049902344;0;0
abalone.bin;0.55;2298;2138624;4177;4177;37593;0;0;abalone.num;2297;4177;0.998046875;0;0;0;0;0.049902344;0;0
abalone.bin;0.5;2089;2138624;4177;4177;37593;0;0;abalone.num;2088;4177;0.998046875;0;0;0;0;0.049902344;0;0
abalone.bin;0.45000002;1880;2138624;6068;6068;37593;1891;0;abalone.num;1879;6068;0.997162662;0;0;0.050301918;0;0.049880238;0;0
abalone.bin;0.4;1671;2138624;6068;6068;37593;1891;0;abalone.num;1670;6068;0.997162662;0;0;0.050301918;0;0.049858133;0;0
abalone.bin;0.35;1462;2138624;8340;7596;37593;3419;0;abalone.num;1461;7596;0.996448184;0.089208633;0;0.090947783;0;0.049840271;0.002230216;0
abalone.bin;0.3;1254;2138624;1923584;74373;37593;36753;15357;abalone.num;1253;57540;0.97309485;0.970087087;0.226332137;0.977655415;0.408506903;0.049238576;0.026482393;0.005658303
abalone.bin;0.25;1045;2138624;1923584;334103;37593;36753;64431;abalone.num;1044;254852;0.880833658;0.867511894;0.237205293;0.977655415;1.713909504;0.046348213;0.045939975;0.011588436
abalone.bin;0.2;836;2138624;2138368;546592;37593;37592;83070;abalone.num;835;401204;0.812400871;0.812378412;0.265989989;0.999973399;2.209719895;0.042330863;0.041997258;0.012579882
abalone.bin;0.15;627;2138624;2138368;1044923;37593;37592;108824;abalone.num;626;667281;0.687985826;0.687948473;0.361406534;0.999973399;2.894794244;0.037509667;0.037508172;0.015684913
abalone.bin;0.1;418;2138624;2138368;1471260;37593;37592;127629;abalone.num;417;1003926;0.530573864;0.530517666;0.317642021;0.999973399;3.39502035;0.030463992;0.030461653;0.016976214
abalone.bin;0.05;209;2138624;2138368;1704853;37593;37592;138136;abalone.num;208;1343187;0.371938686;0.371863496;0.212139111;0.999973399;3.674513872;0.031861281;0.031856116;0.018548006
cmc.bin;1;1473;1508352;1473;1473;14730;0;0;cmc.num;1473;1473;0.999023438;0;0;0;0;0;0;0
cmc.bin;0.95;1400;1508352;1473;1473;14730;0;0;cmc.num;1399;1473;0.999023438;0;0;0;0;0.049951172;0;0
cmc.bin;0.90000004;1326;1508352;2837;2837;14730;1364;0;cmc.num;1325;2837;0.998119139;0;0;0.092600136;0;0.049928564;0;0
cmc.bin;0.85;1253;1508352;5242;4090;14730;2617;0;cmc.num;1252;4090;0.997288431;0.219763449;0;0.17766463;0;0.049885189;0.005494086;0
cmc.bin;0.8;1179;1508352;5242;4090;14730;2617;0;cmc.num;1178;4090;0.997288431;0.219763449;0;0.17766463;0;0.049864422;0.010988172;0
cmc.bin;0.75;1105;1508352;5242;5242;14730;2617;1152;cmc.num;1104;6346;0.995792759;0;0;0.17766463;0.078207739;0.04982703;0.005494086;0
cmc.bin;0.7;1032;1508352;9200;6346;14730;3721;1152;cmc.num;1031;6346;0.995792759;0.310217391;0;0.252613714;0.078207739;0.049789638;0.007755435;0
cmc.bin;0.65000004;958;1508352;9200;7368;14730;3721;2174;cmc.num;957;7368;0.995115199;0.199130435;0;0.252613714;0.147589952;0.049772699;0.012733696;0
cmc.bin;0.6;884;1508352;14784;10099;14730;4620;3129;cmc.num;883;9222;0.993886043;0.376217532;0.086840281;0.313645621;0.212423625;0.049725031;0.014383699;0.002171007
cmc.bin;0.55;811;1508352;14784;10972;14730;4620;4002;cmc.num;810;10972;0.992725836;0.25784632;0;0.313645621;0.271690428;0.049665297;0.015851596;0.002171007
